"Cardroom","Username","Nickname","Country","Signup date + time","Frozen","Signup IP","Signup serial","Date first rake/fee","Player Code","Lifetime Rake","Lifetime Fee"
"netbetuk","NETB5805C8B34356","NETB5805C8B34356","United Kingdom","2026-03-18 02:28:50","Not frozen",NULL,NULL,NULL,"39745075",NULL,NULL
"sportiumbet.mx","Olijara24","Olijara24","Mexico","2026-03-17 21:41:20","Not frozen",NULL,NULL,NULL,"39743721",NULL,NULL
"sportiumbet.mx","Sael1992","Sael1992","Mexico","2026-03-17 19:37:10","Not frozen",NULL,NULL,NULL,"39743154",NULL,NULL
"paf.com","31502687","Dynamicfree693","Finland","2026-03-17 17:53:29","Not frozen","87.100.205.33","21255e1d8397ff3217640d1d4126316f","2026-03-17 00:00:00","39742598","0.05242699999999999","0"
"teammexico.mx","1367555","1367555","Mexico","2026-03-17 20:26:58","Not frozen","187.190.141.148","f6ab4c596dd61988074584d97c41fd37",NULL,"39743356",NULL,NULL
"netbetro","NETB0911F71D6B1F","NETB0911F71D6B1F","Romania","2026-03-17 23:03:30","Not frozen",NULL,NULL,NULL,"39744204",NULL,NULL
"sportiumbet.mx","Ulises234@","Ulises2341","Mexico","2026-03-17 15:43:00","Not frozen",NULL,NULL,NULL,"39742040",NULL,NULL
"sportiumbet.mx","Tingo666","Tingo666","Mexico","2026-03-18 04:01:00","Not frozen",NULL,NULL,NULL,"39745402",NULL,NULL
"bet365poker","CONNERM177","Engagingember13","United Kingdom","2026-03-17 19:17:06","Not frozen","86.171.124.200","b430784bbe1afeb02cde18f69e9402b8",NULL,"39743036",NULL,NULL
"netbetro","NETBA925F45D5FE3","NETBA925F45D5FE3","Romania","2026-03-17 17:51:00","Not frozen",NULL,NULL,NULL,"39742590",NULL,NULL
"sportiumbet.mx","alex185","alex1851","Mexico","2026-03-17 16:55:40","Not frozen",NULL,NULL,NULL,"39742345",NULL,NULL
"bet365poker","CALLUMTIMSON12","queenbeach985","United Kingdom","2026-03-17 13:58:41","Not frozen","185.109.40.2","75e6a5b172ded6edf514bf7372906142","2026-03-17 00:00:00","39741598","0.08252599999999999","0"
"netbetuk","NETB218A3DCCBDF2","NETB218A3DCCBDF2","United Kingdom","2026-03-18 00:22:40","Not frozen",NULL,NULL,NULL,"39744587",NULL,NULL
"netbetro","NETB87A8AC4A59BA","NETB87A8AC4A59BA","Romania","2026-03-17 22:37:10","Not frozen",NULL,NULL,NULL,"39744055",NULL,NULL
"netbetro","NETBC0CE73442D8A","NETBC0CE73442D8A","Romania","2026-03-18 01:54:30","Not frozen",NULL,NULL,NULL,"39744931",NULL,NULL
"bet365poker.bg","GS5IGWIQWN5CQD","machineeasy654","Bulgaria","2026-03-17 12:35:38","Not frozen","87.243.83.160","251035553c6495cc35d94fecd1359162",NULL,"39741333",NULL,NULL
"championpoker","Avapiati","Avapiati0","Brazil","2026-03-18 03:20:20","Not frozen","200.148.58.241","452aa4e3-b699-431c-9317-62bec4636fd6",NULL,"39745251",NULL,NULL
"netbetro","NETBB5E3AE0A5995","NETBB5E3AE0A5995","Romania","2026-03-18 01:09:00","Not frozen",NULL,NULL,NULL,"39744773",NULL,NULL
"codere.mx","uake82","beegrey5311","Mexico","2026-03-17 22:39:16","Not frozen","186.96.12.55","19db6cb1e5cdc49778e888b2e1f8ab03",NULL,"39744072",NULL,NULL
"bet365poker.gr","NIKOS14DR","jokercruel588","Greece","2026-03-17 19:14:26","Not frozen","62.74.9.147","6d18e72a7b2e461552cf58a0da4ea515",NULL,"39743019",NULL,NULL
"sportiumbet.mx","Roxana3131","Roxana31311","Mexico","2026-03-17 20:00:00","Not frozen",NULL,NULL,NULL,"39743268",NULL,NULL
"inbet.bg","969627327488872448","DuDuTi","Bulgaria","2026-03-17 23:29:22","Not frozen","212.104.116.59","ad37c88c8a925a5220962e0137cccc57","2026-03-17 00:00:00","39744340","0.9232900000000002","0"
"sportiumbet.mx","Vale@31","Vale31","Mexico","2026-03-17 16:41:00","Not frozen",NULL,NULL,NULL,"39742275",NULL,NULL
"teammexico.mx","1419934","forcasterN1","Mexico","2026-03-17 19:03:53","Not frozen","187.191.31.21","15de49380b1f688d32d40b068d08d56b",NULL,"39742965","0.6183889999999994","0"
"skypoker.com","514339423","Yerwil","United Kingdom","2026-03-17 19:00:31","Not frozen","82.69.38.39","1ad7fb68-610e-485a-bff2-17895c2a016f",NULL,"39742943",NULL,NULL
"sportiumbet.mx","Chark03","Chark031","Mexico","2026-03-17 13:48:00","Not frozen",NULL,NULL,NULL,"39741565",NULL,NULL
"sportiumbet.mx","Zuridaelmen153@","Zuridaelmen153","Mexico","2026-03-18 00:03:00","Not frozen",NULL,NULL,NULL,"39744497",NULL,NULL
"efortuna","alexcojo03","alexcojo03","Romania","2026-03-17 13:29:02","Not frozen","82.78.48.198","02EE8BCE-62E6-40F1-85AC-8C2C60DE0C4D","2026-03-17 00:00:00","39741505","0","0.5900000018835807"
"ifortuna.sk","skprod01","skprod01","Czech Republic","2026-03-17 12:01:05","Not frozen","172.27.249.128","nqjook17480",NULL,"39741248",NULL,NULL
"bifortuna.cz","Vanes18","Vanes18","Czech Republic","2026-03-17 15:46:04","Not frozen","84.244.112.113","2e333d7cdb15153197acfced1d0e8d4f",NULL,"39742051",NULL,NULL
"svenskaspel","110186052","jackriver9","Sweden","2026-03-17 21:12:47","Not frozen","94.191.136.166","ab3f3e38ec6dcc1ae1c589e6598a4272",NULL,"39743576",NULL,NULL
"paddypowerpoker.com","306515698","Intensestorm65","United Kingdom","2026-03-17 13:07:03","Not frozen","81.157.2.91","30480f0be673a073ec97b45d924f90af",NULL,"39741420",NULL,NULL
"efortuna","irina1216","irina1216","Romania","2026-03-17 16:56:57","Not frozen","86.126.173.66","84bfd382-0207-4ecd-b9e7-0a6be809885e","2026-03-17 00:00:00","39742354","0","0.03000000009577529"
"netbetro","NETBEBE0337518FB","NETBEBE0337518FB","Romania","2026-03-17 18:04:00","Not frozen",NULL,NULL,NULL,"39742653",NULL,NULL
"paf.com","24580862","baronstar525","Finland","2026-03-17 13:10:04","Not frozen","77.105.91.162","d007739bae3337f349c916a6f264ed01","2026-03-17 00:00:00","39741432","0.096143","0"
"bet365poker","ESHAW2811","doctorhard571","United Kingdom","2026-03-17 20:16:50","Not frozen","148.252.133.8","f834606b33b92b46bcb796bcf42371ea",NULL,"39743320",NULL,NULL
"sportiumbet.mx","Gabbyrdz05@","Gabbyrdz05","Mexico","2026-03-18 02:10:10","Not frozen",NULL,NULL,NULL,"39745000",NULL,NULL
"sportiumbet.mx","a686534760","a686534760","Mexico","2026-03-17 21:01:00","Not frozen",NULL,NULL,NULL,"39743519",NULL,NULL
"netbetro","NETB67B2D40F77BB","NETB67B2D40F77BB","Romania","2026-03-17 22:30:20","Not frozen",NULL,NULL,NULL,"39744007",NULL,NULL
"nordicbet.com","1430252423","gamblerblue322","Finland","2026-03-18 03:35:00","Not frozen",NULL,NULL,NULL,"39745308",NULL,NULL
"paddypowerpoker.com","44085285","streetkey124","United Kingdom","2026-03-17 11:10:25","Not frozen","148.252.165.220","2ac667364c46f1af90a038d39005466f","2026-03-17 00:00:00","39741088","0","0.35000000148903854"
"betsson.com","1095492722","knightred681","Chile","2026-03-18 03:33:00","Not frozen",NULL,NULL,NULL,"39745302",NULL,NULL
"bet365poker.gr","MPAMPOS0404","tripstense417","Greece","2026-03-17 15:11:18","Not frozen","31.152.111.198","10e16f48ed291007117fe5522d4a58ac",NULL,"39741919",NULL,NULL
"bet365poker.gr","DIMITRISLYKOURIS","clownshadow82","Greece","2026-03-17 22:35:12","Not frozen","31.217.173.85","19866c009d5f812827e1874125a2bedd",NULL,"39744040",NULL,NULL
"netbetro","NETB9E9EB68C53C2","NETB9E9EB68C53C2","Romania","2026-03-17 16:46:40","Not frozen",NULL,NULL,NULL,"39742297",NULL,NULL
"netbetro","NETBAF4370CC0255","NETBAF4370CC0255","Romania","2026-03-17 23:26:10","Not frozen",NULL,NULL,NULL,"39744322",NULL,NULL
"teammexico.mx","1419676","1419676","Mexico","2026-03-17 17:41:47","Not frozen","177.230.113.165","b5b0d4538049fb5eb03491943df37272",NULL,"39742548",NULL,NULL
"sportiumbet.mx","Soñador@26","Soador26","Mexico","2026-03-17 12:17:40","Not frozen",NULL,NULL,NULL,"39741289",NULL,NULL
"bet365poker","LOIC_DOUVILLE","heartteal823","Canada","2026-03-17 18:07:16","Not frozen","24.114.101.222","58f702debb60dc7bb548a5be9655e8d8",NULL,"39742668",NULL,NULL
"bifortuna.cz","dvdhar","dvdhar","Czech Republic","2026-03-17 16:34:06","Not frozen","46.174.33.160","90b95fb2260fb0410670d9fa44a10d9c",NULL,"39742252",NULL,NULL
"codere.mx","MarbelDC","Diligentmask24","Mexico","2026-03-18 01:16:05","Not frozen","189.133.253.122","bae7988b440dc2698f211d82d8029a71",NULL,"39744798",NULL,NULL
"bet365poker","MORPHLINGWEAVER","setbluffy931","Mauritius","2026-03-17 16:47:20","Not frozen","196.20.219.173","61d4aeaa151fe50cf5de4d021cc07e60",NULL,"39742301",NULL,NULL
"sportiumbet.mx","Miliocepeda123","Miliocepeda123","Mexico","2026-03-17 16:43:30","Not frozen",NULL,NULL,NULL,"39742284",NULL,NULL
"sportiumbet.mx","JhoanaMay11","JhoanaMay11","Mexico","2026-03-17 15:09:40","Not frozen",NULL,NULL,NULL,"39741915",NULL,NULL
"netbetro","NETBDB3961122DB5","NETBDB3961122DB5","Romania","2026-03-17 17:08:40","Not frozen",NULL,NULL,NULL,"39742405",NULL,NULL
"sportiumbet.mx","Antonioperro82","Antonioperro82","Mexico","2026-03-18 02:53:10","Not frozen",NULL,NULL,NULL,"39745161",NULL,NULL
"betfairpoker","116362668","dukeharbor21","United Kingdom","2026-03-17 19:56:46","Not frozen","92.40.197.224","4FA4F80B-ACAF-4866-A818-BC7745310724","2026-03-17 00:00:00","39743259","0","3.2300000137416993"
"netbetro","NETBC06267D4642B","NETBC06267D4642B","Romania","2026-03-17 16:39:10","Not frozen",NULL,NULL,NULL,"39742270",NULL,NULL
"sportiumbet.mx","ALEJANDRO7@2","ALEJANDRO722","Mexico","2026-03-18 03:58:10","Not frozen",NULL,NULL,NULL,"39745389",NULL,NULL
"bet365poker","FINDLAYTRACY03","wallrapid525","United Kingdom","2026-03-18 02:09:00","Not frozen","82.132.217.154","c3b7312a6ca02e456d7e77fb03f71d42",NULL,"39744995",NULL,NULL
"coolbet","STU2g3nv","Strongstar454","Chile","2026-03-18 02:08:30","Not frozen","181.43.35.70","79bc04718ce0233e3685bb43c22f67a8",NULL,"39744990",NULL,NULL
"sportiumbet.mx","Tomatio14","Tomatio14","Mexico","2026-03-17 23:20:20","Not frozen",NULL,NULL,NULL,"39744290",NULL,NULL
"bet365poker","MIKERADE88","jokerember621","United Kingdom","2026-03-17 17:03:22","Not frozen","81.77.148.15","1D4D7070-1619-4B9D-9338-BB703E3FB88A",NULL,"39742375",NULL,NULL
"betfredew5","PF14459207","sally1990xx","United Kingdom","2026-03-18 00:19:37","Not frozen","31.104.91.249","e929bc6fa4e903d1ac36a6c1831299c0",NULL,"39744568",NULL,NULL
"sportiumbet.mx","Brandonx2","Brandonx2","Mexico","2026-03-17 12:40:50","Not frozen",NULL,NULL,NULL,"39741351",NULL,NULL
"nordicbet.se","1725720993","playerproud565","Sweden","2026-03-17 10:48:00","Not frozen","90.130.52.203","2147c6eab2cc10a11170dd7eac288c51",NULL,"39741022",NULL,NULL
"bet365poker","ROSSMATT1982","savantbloom79","United Kingdom","2026-03-17 19:48:20","Not frozen","88.97.203.97","114036b6beb96d8955559cdf0a713737","2026-03-17 00:00:00","39743211","0.913865","0"
"skypoker.com","507235636","surgicalmango","United Kingdom","2026-03-17 20:36:08","Not frozen","103.219.20.188","8179e2b26ee28539bf9ac40a61ae1da3","2026-03-17 00:00:00","39743397","3.7861560395887457","0"
"skypoker.com","513760158","513760158","United Kingdom","2026-03-17 21:27:54","Not frozen","94.10.86.230","d8f397fe77c8b9ce6b1d000b1e04b819",NULL,"39743641",NULL,NULL
"netbetro","NETB42FD61586CEA","NETB42FD61586CEA","Romania","2026-03-17 14:55:20","Not frozen",NULL,NULL,NULL,"39741866",NULL,NULL
"bet365poker","CLEMETT","monsterjewel91","United Kingdom","2026-03-17 17:29:52","Not frozen","92.40.198.181","aa79843b43b88582cff8935b2ae3f816",NULL,"39742489",NULL,NULL
"sportiumbet.mx","@Ngel_20","Ngel20","Mexico","2026-03-17 16:10:10","Not frozen",NULL,NULL,NULL,"39742138",NULL,NULL
"poker770mt","NETBC9896F5EA724","NETBC9896F5EA724","Moldova","2026-03-17 23:09:30","Not frozen",NULL,NULL,NULL,"39744238",NULL,NULL
"betfredew5","PF12442441","abzedd","United Kingdom","2026-03-18 03:19:54","Not frozen","78.144.247.215","6944555598b4f2a654a646e490ab5cda",NULL,"39745249",NULL,NULL
"boylepokeruw4","FVLKID","punterfair528","United Kingdom","2026-03-17 20:01:28","Not frozen","185.50.100.5","0EBBB2C7-AD67-4527-9F89-486DF9872C0C","2026-03-17 00:00:00","39743271","0","1.260000005360539"
"sportiumbet.mx","Claudio-car28","Claudiocar28","Mexico","2026-03-17 18:40:10","Not frozen",NULL,NULL,NULL,"39742849",NULL,NULL
"skypoker.com","506857788","506857788","United Kingdom","2026-03-18 03:04:52","Not frozen","151.230.232.179","45a092cd7a972b3e6667d14bea339449",NULL,"39745206",NULL,NULL
"sportiumbet.mx","cholouw04","cholouw04","Mexico","2026-03-17 12:56:20","Not frozen",NULL,NULL,NULL,"39741388",NULL,NULL
"sportiumbet.mx","ibarramari512@","ibarramari512","Mexico","2026-03-17 10:46:20","Not frozen",NULL,NULL,NULL,"39741014",NULL,NULL
"netbetro","NETBB4F6D94C35D9","NETBB4F6D94C35D9","Romania","2026-03-17 18:10:30","Not frozen",NULL,NULL,NULL,"39742677",NULL,NULL
"netbetuk","NETB7213F01CD9D5","NETB7213F01CD9D5","United Kingdom","2026-03-18 01:55:20","Not frozen",NULL,NULL,NULL,"39744936",NULL,NULL
"sportiumbet.mx","Kekaloca8","Kekaloca8","Mexico","2026-03-17 22:37:40","Not frozen",NULL,NULL,NULL,"39744060",NULL,NULL
"sportiumbet.mx","Cesarr1973","Cesarr1973","Mexico","2026-03-17 13:58:50","Not frozen",NULL,NULL,NULL,"39741599",NULL,NULL
"grosvenor.poker","11681401","Focusedworld57","United Kingdom","2026-03-17 23:15:10","Not frozen","31.94.38.220","de556f6da408faeddad8c9c0fdf54abf","2026-03-18 00:00:00","39744266","0","1.6399999993376777"
"sportiumbet.mx","Amaliacl58","Amaliacl58","Mexico","2026-03-17 21:17:00","Not frozen",NULL,NULL,NULL,"39743592",NULL,NULL
"netbetro","NETB9FCFE4BAE35E","NETB9FCFE4BAE35E","Romania","2026-03-17 16:43:40","Not frozen",NULL,NULL,NULL,"39742287",NULL,NULL
"netbetuk","NETB6DB6B969BEA1","NETB6DB6B969BEA1","United Kingdom","2026-03-17 15:18:10","Not frozen",NULL,NULL,NULL,"39741941",NULL,NULL
"sportiumbet.mx","Rosario2204","Rosario2204","Mexico","2026-03-17 21:39:10","Not frozen",NULL,NULL,NULL,"39743709",NULL,NULL
"paf.se","29299314","Legendaryred64","Sweden","2026-03-18 02:24:08","Not frozen","90.130.53.13","4d261c06f9b6b07ea4191575283c2985","2026-03-18 00:00:00","39745051","23.196554398718035","0"
"bet365poker","NEBIF95","Intensefast97","Macedonia","2026-03-18 00:45:20","Not frozen","188.44.29.131","20c7fd851c365d190cf3366ea137dda3","2026-03-18 00:00:00","39744681","1.976221","0"
"championpoker","test1210570","test1210570","Croatia","2026-03-17 12:20:00","Not frozen",NULL,NULL,NULL,"39741296",NULL,NULL
"sportiumbet.mx","@Adrian0110","Adrian01101","Mexico","2026-03-18 01:33:00","Not frozen",NULL,NULL,NULL,"39744865",NULL,NULL
"betsson.se","1251995206","gunthread887","Sweden","2026-03-17 20:54:40","Not frozen",NULL,NULL,NULL,"39743480",NULL,NULL
"sportiumbet.mx","Tomate1273","Tomate1273","Mexico","2026-03-17 10:15:10","Not frozen",NULL,NULL,NULL,"39740920",NULL,NULL
"sportiumbet.mx","Emmalop13","Emmalop13","Mexico","2026-03-18 02:57:20","Not frozen",NULL,NULL,NULL,"39745176",NULL,NULL
"netbetro","NETBCEE98AD976FD","NETBCEE98AD976FD","Romania","2026-03-17 23:02:10","Not frozen",NULL,NULL,NULL,"39744197",NULL,NULL
"sportiumbet.mx","Abdeel96","Abdeel96","Mexico","2026-03-17 10:17:10","Not frozen",NULL,NULL,NULL,"39740925",NULL,NULL
"netbetro","NETB46152F98899A","NETB46152F98899A","Romania","2026-03-17 14:25:40","Not frozen",NULL,NULL,NULL,"39741733",NULL,NULL
"skypoker.com","512259518","512259518jj","United Kingdom","2026-03-18 03:38:42","Not frozen","148.252.140.211","ac8ab31e23f5f578af8f0b2a34958eb3",NULL,"39745324",NULL,NULL
"netbetro","NETB275DEB2612D0","NETB275DEB2612D0","Romania","2026-03-18 00:30:40","Not frozen",NULL,NULL,NULL,"39744625",NULL,NULL
"betfredew5","PF14582886","jmadz18","United Kingdom","2026-03-17 18:03:49","Not frozen","86.166.73.130","77a02b091d88a8510b4d9fff22cf1f0f",NULL,"39742649",NULL,NULL
"teammexico.mx","1106583","1106583","Mexico","2026-03-17 15:49:24","Not frozen","187.161.132.219","51dd49ef5ca074024c4b3e7b745ac0a8",NULL,"39742059",NULL,NULL
"bifortuna.cz","Marbusha","Marbusha","Czech Republic","2026-03-17 10:14:08","Not frozen","37.48.16.233","e0bef1fcd24d800b3236abc32509bd33",NULL,"39740917",NULL,NULL
"sportiumbet.mx","Ivygana789","Ivygana789","Mexico","2026-03-17 19:49:10","Not frozen",NULL,NULL,NULL,"39743216",NULL,NULL
"bet365poker","ALAINJACKSON40","jacksmart51","Canada","2026-03-17 23:45:11","Not frozen","24.114.103.131","c3a80c92290ee3210209a4511c0262e9",NULL,"39744407",NULL,NULL
"sportiumbet.mx","Lupitarms11","Lupitarms11","Mexico","2026-03-18 03:00:30","Not frozen",NULL,NULL,NULL,"39745189",NULL,NULL
"netbetuk","NETB0DBE13F44F31","NETB0DBE13F44F31","United Kingdom","2026-03-17 22:11:40","Not frozen",NULL,NULL,NULL,"39743893",NULL,NULL
"betfredew5","PF8965265","ajbentley","United Kingdom","2026-03-18 03:29:36","Not frozen","86.175.215.227","b725a2ec3184db1a42b15485767d8bf2",NULL,"39745286",NULL,NULL
"sportiumbet.mx","Eusebi92","Eusebi92","Mexico","2026-03-17 19:00:00","Not frozen",NULL,NULL,NULL,"39742939",NULL,NULL
"poker770mt","NETB400C10CB9388","NETB400C10CB9388","Bangladesh","2026-03-17 16:47:20","Not frozen",NULL,NULL,NULL,"39742300",NULL,NULL
"sportiumbet.mx","Rubilan2002","Rubilan2002","Mexico","2026-03-17 21:46:10","Not frozen",NULL,NULL,NULL,"39743743",NULL,NULL
"netbetro","NETB67449FDA9611","NETB67449FDA9611","Romania","2026-03-17 16:21:10","Not frozen",NULL,NULL,NULL,"39742188",NULL,NULL
"sportiumbet.mx","JESUS1354","JESUS1354","Mexico","2026-03-17 23:24:30","Not frozen",NULL,NULL,NULL,"39744314",NULL,NULL
"sportiumbet.mx","Susana529","Susana529","Mexico","2026-03-17 20:46:40","Not frozen",NULL,NULL,NULL,"39743450",NULL,NULL
