"Type ID","Player code","Username","Nickname","Cardroom","ClientPlatform","Tournament code","Tournament name","Tournament registration code","Game ID","Time of disconnection","Last game ID","Last Hand of disconnection","Start time of tournament","First hand disconnection rate (all servers)","Last hand disconnection rate (all servers)","Total value","Total Hands","Hands DC","Last hand start","Player leaving game","Chips lost in sitout","Position"
"MTT","1912658","13446039","BBQSteve626","fanduelpoker.usmi","Platform WEB - mobile","47200278","Moonlight Express 2nd Chance","280135570","2510954960","2026-04-07 05:39:07","2510957242","2026-04-07 05:54:25","2026-04-07 04:45:01","5.031","5.787","20","40","5","2026-04-07 05:54:25","2026-04-07 05:53:00","499","14"
"MTT","1915212","369067","sfXexwun","fanduelpoker.uspa","Platform WEB - mobile","47200278","Moonlight Express 2nd Chance","280135100","2510951989","2026-04-07 05:26:38","2510957173","2026-04-07 05:47:29","2026-04-07 04:45:01","8.24","8","20","61","2","2026-04-07 05:54:43","","130","10"
"SNG","1912608","46145686","gela7746145686","fanduelpoker.usnj","Platform WEB - mobile","47225825","Spin & Go $5 SNG","280135427","2510955207","2026-04-07 05:34:47","2510955207","2026-04-07 05:34:47","2026-04-07 05:33:59","7.555","7.555","5","4","1","2026-04-07 05:35:31","","20","1"
"SNG","1937160","42839859","itsyomom69","fanduelpoker.uspa","Platform WEB - mobile","47225580","Spin & Go $1 SNG","280134632","2510953692","2026-04-07 05:23:40","2510953692","2026-04-07 05:23:40","2026-04-07 05:17:42","7.829","7.829","1","12","1","2026-04-07 05:25:45","","0","3"
"MTT","1912534","29869322","leefromthep","fanduelpoker.uspa","Platform WEB - mobile","47199637","The Roman","280129317","2510955017","2026-04-07 05:43:08","2510955017","2026-04-07 05:43:08","2026-04-07 02:45:01","7.906","7.906","25","136","1","2026-04-07 05:44:35","","625","8"
"SNG","1914930","16270568","BiGPaPa","fanduelpoker.uspa","Platform WEB - mobile","47225308","Spin & Go $1 SNG","280133683","2510948045","2026-04-07 04:59:25","2510948062","2026-04-07 05:00:08","2026-04-07 04:59:10","8.116","6.748","1","12","2","2026-04-07 05:06:13","","20","1"
"SNG","1927637","1591666","KangaTheClown","fanduelpoker.usmi","Platform QT - MAC","47225284","Spin & Go $50 SNG","280133828","2510949226","2026-04-07 05:09:27","2510949226","2026-04-07 05:09:27","2026-04-07 05:01:53","6.159","6.159","50","24","1","2026-04-07 05:11:26","","60","1"
"SNG","1910661","46091441","FishFood55","fanduelpoker.uspa","Platform QT - windows desktop","47225755","Spin & Go $1 SNG","280135284","2510955875","2026-04-07 05:33:41","2510955875","2026-04-07 05:33:41","2026-04-07 05:30:36","8.135","8.135","1","44","0","2026-04-07 05:41:39","","0","1"
"MTT","1927261","48630487","dwake23","fanduelpoker.usmi","Platform WEB - mobile","47199516","Moonlight Express","280131983","2510944664","2026-04-07 05:00:55","2510944664","2026-04-07 05:00:55","2026-04-07 04:00:01","6.748","6.748","20","63","1","2026-04-07 05:32:03","","100","17"
"MTT","1916449","48610557","Days","fanduelpoker.usnj","Platform QT - windows desktop","47199516","Moonlight Express","280132167","2510944684","2026-04-07 05:02:28","2510944684","2026-04-07 05:02:28","2026-04-07 04:00:01","5.873","5.873","20","46","1","2026-04-07 05:15:58","","100","31"
"SNG","1932544","46803802","RangoStar","fanduelpoker.usmi","Platform QT - windows desktop","47226050","Spin & Go $1 SNG","280136329","2510960043","2026-04-07 05:58:20","2510960043","2026-04-07 05:58:20","2026-04-07 05:57:45","9.398","9.398","1","6","1","2026-04-07 05:58:20","2026-04-07 05:58:20","0","3"
"SNG","1927931","44118925","44118925","fanduelpoker.usmi","Platform WEB - mobile","47225485","Spin & Go $1 SNG","280134346","2510951498","2026-04-07 05:13:49","2510951517","2026-04-07 05:14:21","2026-04-07 05:12:50","7.273","6.965","1","10","7","2026-04-07 05:15:03","","110","2"
"MTT","1923731","20482311","blakeyep","fanduelpoker.usmi","Platform WEB - mobile","47200956","Speedy Slam","280135827","2510955593","2026-04-07 05:43:12","2510955595","2026-04-07 05:43:47","2026-04-07 05:30:01","7.906","7.906","30","15","2","2026-04-07 05:52:05","","50","27"
"SNG","1940184","10577561","AllDayJay","fanduelpoker.uspa","Platform WEB - mobile","47225564","Spin & Go $5 SNG","280134486","2510951015","2026-04-07 05:15:29","2510952453","2026-04-07 05:16:52","2026-04-07 05:15:14","5.97","6.544","5","25","5","2026-04-07 05:22:33","","60","2"
"SNG","1940653","48674474","Crash22","fanduelpoker.usmi","Platform QT - windows desktop","47225875","Spin & Go $1 SNG","280135756","2510956755","2026-04-07 05:44:42","2510956755","2026-04-07 05:44:42","2026-04-07 05:41:20","4.783","4.783","1","14","1","2026-04-07 05:48:17","","60","1"
"MTT","1934872","48651029","MarvIllis","fanduelpoker.usmi","Platform QT - MAC","47200278","Moonlight Express 2nd Chance","280133044","2510947735","2026-04-07 05:15:32","2510947758","2026-04-07 05:16:51","2026-04-07 04:45:01","5.97","6.544","20","70","2","2026-04-07 05:54:25","","20","20"
"MTT","1936552","35435616","vMaximum","fanduelpoker.usnj","Platform WEB - mobile","47200278","Moonlight Express 2nd Chance","280134048","2510947705","2026-04-07 05:14:03","2510954922","2026-04-07 05:36:37","2026-04-07 04:45:01","6.965","8.041","20","74","2","2026-04-07 05:54:24","","67","17"
"SNG","1931449","12504677","drea","fanduelpoker.usmi","Platform WEB - mobile","47225513","Spin & Go $5 SNG","280134282","2510949974","2026-04-07 05:11:54","2510949974","2026-04-07 05:11:54","2026-04-07 05:11:39","6.126","6.126","5","12","12","2026-04-07 05:19:49","","20","1"
"SNG","1913191","48613319","Cracklitos","fanduelpoker.usnj","Platform QT - windows desktop","47225287","Spin & Go $5 SNG","280133541","2510949202","2026-04-07 05:08:34","2510949205","2026-04-07 05:08:38","2026-04-07 04:56:14","6.709","6.709","5","38","2","2026-04-07 05:09:36","","180","1"
"SNG","1941512","13634709","BirdDog24","fanduelpoker.usmi","Platform WEB - mobile","47225435","Spin & Go $5 SNG","280134026","2510950390","2026-04-07 05:10:46","2510950390","2026-04-07 05:10:46","2026-04-07 05:05:47","7.317","7.317","5","14","0","2026-04-07 05:12:16","","0","2"
"SNG","1932254","35628949","fishnchips101","fanduelpoker.usmi","Platform WEB - mobile","47225930","Spin & Go $1 SNG","280135965","2510958489","2026-04-07 05:47:39","2510958489","2026-04-07 05:47:39","2026-04-07 05:46:23","8","8","1","38","1","2026-04-07 05:58:12","","10","2"
"SNG","1918760","2265995","tb12goat","fanduelpoker.uspa","Platform WEB - mobile","47225477","Spin & Go $5 SNG","280134209","2510951303","2026-04-07 05:12:49","2510951306","2026-04-07 05:12:55","2026-04-07 05:09:51","7.179","7.179","5","17","2","2026-04-07 05:18:04","","30","1"
"MTT","1910061","36557805","RickyLaFleur","fanduelpoker.uspa","Platform QT - windows desktop","47200278","Moonlight Express 2nd Chance","280037416","2510944671","2026-04-07 05:01:39","2510957141","2026-04-07 05:44:43","2026-04-07 04:45:01","5.882","4.783","20","59","47","2026-04-07 05:46:32","2026-04-07 05:01:39","4571","41"
"MTT","1913559","395041","jpwilkie","fanduelpoker.usnj","Platform QT - windows desktop","47200278","Moonlight Express 2nd Chance","280134694","2510951979","2026-04-07 05:26:01","2510952046","2026-04-07 05:29:19","2026-04-07 04:45:01","8.24","7.81","20","84","5","2026-04-07 05:53:52","","160","6"
"MTT","1912658","13446039","BBQSteve626","fanduelpoker.usmi","Platform WEB - mobile","47200278","Moonlight Express 2nd Chance","280135185","2510954873","2026-04-07 05:33:51","2510954899","2026-04-07 05:35:20","2026-04-07 04:45:01","8.135","6.135","20","9","3","2026-04-07 05:35:44","","150","72"
"SNG","1940814","15435462","nigock","fanduelpoker.usnj","Platform QT - windows desktop","47225403","Spin & Go $5 SNG","280133930","2510950386","2026-04-07 05:10:36","2510950432","2026-04-07 05:11:59","2026-04-07 05:03:52","7.317","6.126","5","32","17","2026-04-07 05:12:13","","690","2"
"SNG","1913829","9708324","PorterMartone","fanduelpoker.uspa","Platform WEB - mobile","47226000","Spin & Go $20 SNG","280136221","2510959978","2026-04-07 05:55:28","2510960016","2026-04-07 05:56:52","2026-04-07 05:53:11","5.869","7.637","20","32","21","2026-04-07 05:57:07","2026-04-07 05:55:28","480","2"
"SNG","1929512","37807756","keith1218","fanduelpoker.usmi","Platform WEB - mobile","47225675","Spin & Go $20 SNG","280134975","2510953360","2026-04-07 05:24:47","2510954724","2026-04-07 05:29:49","2026-04-07 05:24:32","7.568","7.81","20","32","31","2026-04-07 05:29:53","2026-04-07 05:24:47","530","2"
"MTT","1934872","48651029","MarvIllis","fanduelpoker.usmi","Platform QT - MAC","47199637","The Roman","280128176","2510947746","2026-04-07 05:16:12","2510947765","2026-04-07 05:17:14","2026-04-07 02:45:01","6.544","7.81","25","188","3","2026-04-07 05:54:38","","850","5"
"MTT","1910617","10670825","TheWagon","fanduelpoker.usnj","Platform QT - windows desktop","47199637","The Roman","280119149","2510947620","2026-04-07 05:09:52","2510947620","2026-04-07 05:09:52","2026-04-07 02:45:01","6.159","6.159","25","171","1","2026-04-07 05:13:47","","250","15"
"SNG","1918760","2265995","tb12goat","fanduelpoker.uspa","Platform WEB - mobile","47225247","Spin & Go $5 SNG","280133407","2510949105","2026-04-07 05:04:51","2510949187","2026-04-07 05:08:00","2026-04-07 04:54:32","5.132","6.709","5","39","4","2026-04-07 05:09:26","","520","1"
"SNG","1926527","4437824","Brellz","fanduelpoker.uspa","Platform QT - windows desktop","47225453","Spin & Go $5 SNG","280134122","2510950102","2026-04-07 05:10:26","2510950115","2026-04-07 05:10:57","2026-04-07 05:08:02","7.317","7.317","5","22","2","2026-04-07 05:16:09","","75","1"
"SNG","1918760","2265995","tb12goat","fanduelpoker.uspa","Platform WEB - mobile","47225624","Spin & Go $5 SNG","280134691","2510952508","2026-04-07 05:18:39","2510952508","2026-04-07 05:18:39","2026-04-07 05:18:24","5.705","5.705","5","19","1","2026-04-07 05:29:05","","20","1"
"SNG","1921682","11560644","Libtay215","fanduelpoker.uspa","Platform WEB - mobile","47225904","Spin & Go $5 SNG","280135741","2510958122","2026-04-07 05:44:13","2510958161","2026-04-07 05:45:47","2026-04-07 05:41:03","4.783","5.921","5","15","3","2026-04-07 05:48:07","","15","3"
"SNG","1916449","48610557","Days","fanduelpoker.usnj","Platform QT - windows desktop","47225950","Spin & Go $5 SNG","280135944","2510958804","2026-04-07 05:49:48","2510958804","2026-04-07 05:49:48","2026-04-07 05:45:49","5.145","5.145","5","10","1","2026-04-07 05:50:35","","30","1"
"MTT","1919897","12622889","vman","fanduelpoker.uspa","Platform WEB - mobile","47075402","PLO Turbo","280132369","2510943849","2026-04-07 05:01:48","2510943857","2026-04-07 05:03:49","2026-04-07 04:15:01","5.882","6.912","10","19","3","2026-04-07 05:04:36","2026-04-07 05:01:48","800","29"
"MTT","1934872","48651029","MarvIllis","fanduelpoker.usmi","Platform QT - MAC","47075402","PLO Turbo","280133071","2510947297","2026-04-07 05:16:05","2510947299","2026-04-07 05:17:21","2026-04-07 04:15:01","6.544","7.81","10","57","2","2026-04-07 05:37:29","","950","7"
"SNG","1913418","47687094","47687094","fanduelpoker.uspa","Platform WEB - mobile","47225857","Spin & Go $1 SNG","280135692","2510957477","2026-04-07 05:42:12","2510957522","2026-04-07 05:44:27","2026-04-07 05:41:09","7.611","4.783","1","22","6","2026-04-07 05:47:08","","210","2"
"SNG","1913191","48613319","Cracklitos","fanduelpoker.usnj","Platform QT - windows desktop","47225409","Spin & Go $5 SNG","280133956","2510950536","2026-04-07 05:08:27","2510950543","2026-04-07 05:08:41","2026-04-07 05:04:29","6.709","6.709","5","14","2","2026-04-07 05:08:56","","15","1"
"SNG","1918638","38570376","illwill","fanduelpoker.usmi","Platform WEB - mobile","47225308","Spin & Go $1 SNG","280133689","2510948143","2026-04-07 05:03:03","2510948143","2026-04-07 05:03:03","2026-04-07 04:59:10","6.912","6.912","1","12","1","2026-04-07 05:06:13","","0","2"
"SNG","1919935","14612320","Lilbeandip93","fanduelpoker.usmi","Platform WEB - mobile","47225411","Spin & Go $1 SNG","280134033","2510949231","2026-04-07 05:09:35","2510949231","2026-04-07 05:09:35","2026-04-07 05:05:51","6.159","6.159","1","24","1","2026-04-07 05:21:26","","15","2"
"SNG","1930809","17143915","rolo822","fanduelpoker.usmi","Platform WEB - mobile","47225932","Spin & Go $20 SNG","280136023","2510958981","2026-04-07 05:50:08","2510958981","2026-04-07 05:50:08","2026-04-07 05:47:39","7.24","7.24","20","18","1","2026-04-07 05:54:55","","0","1"
"SNG","1923486","45001842","bigdawgBrianna","fanduelpoker.uspa","Platform WEB - mobile","47225667","Spin & Go $5 SNG","280134842","2510954702","2026-04-07 05:29:19","2510954764","2026-04-07 05:31:55","2026-04-07 05:21:52","7.81","9.004","5","20","6","2026-04-07 05:33:56","","230","2"
"SNG","1940055","35846850","35846850","fanduelpoker.usmi","Platform WEB - mobile","47225495","Spin & Go $5 SNG","280134238","2510950650","2026-04-07 05:12:56","2510950650","2026-04-07 05:12:56","2026-04-07 05:10:29","7.179","7.179","5","25","1","2026-04-07 05:19:13","","30","2"
"MTT","1941115","2753235","Threet76","fanduelpoker.uspa","Platform WEB - mobile","47075402","PLO Turbo","280130376","2510943850","2026-04-07 05:01:48","2510943869","2026-04-07 05:06:21","2026-04-07 04:15:01","5.882","6.487","10","37","6","2026-04-07 05:07:00","2026-04-07 05:01:48","1225","27"
"MTT","1939675","10798096","Yoink","fanduelpoker.usnj","Platform WEB - mobile","47075402","PLO Turbo","280130733","2510943852","2026-04-07 05:01:50","2510943863","2026-04-07 05:05:16","2026-04-07 04:15:01","5.882","6.729","10","51","4","2026-04-07 05:20:56","","875","13"
"MTT","1929148","22082993","0915tone","fanduelpoker.usmi","Platform WEB - mobile","47200278","Moonlight Express 2nd Chance","280037003","2510944674","2026-04-07 05:01:39","2510955022","2026-04-07 05:43:27","2026-04-07 04:45:01","5.882","7.906","20","59","47","2026-04-07 05:43:48","2026-04-07 05:01:39","4391","44"
"MTT","1926712","21593704","WideFootWilly","fanduelpoker.uspa","Platform WEB - mobile","47200278","Moonlight Express 2nd Chance","280133164","2510947696","2026-04-07 05:13:45","2510947738","2026-04-07 05:15:48","2026-04-07 04:45:01","7.273","5.97","20","128","2","2026-04-07 05:54:43","","34","1"
"MTT","1927039","27929792","Carmen1907","fanduelpoker.usmi","Platform WEB - mobile","47200278","Moonlight Express 2nd Chance","280133143","2510944671","2026-04-07 05:01:39","2510944700","2026-04-07 05:03:13","2026-04-07 04:45:01","5.882","6.912","20","38","2","2026-04-07 05:34:04","","20","78"
"SNG","1941824","43416739","Ry13C","fanduelpoker.usmi","Platform WEB - mobile","47225363","Spin & Go $1 SNG","280133901","2510948367","2026-04-07 05:04:54","2510948382","2026-04-07 05:05:53","2026-04-07 05:04:01","5.132","6.729","1","12","2","2026-04-07 05:11:42","","40","3"
"SNG","1941824","43416739","Ry13C","fanduelpoker.usmi","Platform WEB - mobile","47225348","Spin & Go $1 SNG","280133900","2510947464","2026-04-07 05:03:57","2510950587","2026-04-07 05:09:58","2026-04-07 05:03:42","6.912","6.159","1","28","27","2026-04-07 05:10:02","2026-04-07 05:03:57","570","2"
"SNG","1920321","11943250","YakPum","fanduelpoker.uspa","Platform WEB - mobile","47225580","Spin & Go $1 SNG","280134635","2510953700","2026-04-07 05:23:59","2510953750","2026-04-07 05:26:31","2026-04-07 05:17:42","7.829","8.24","1","13","1","2026-04-07 05:26:31","","360","2"
"SNG","1931017","32005221","Natcat","fanduelpoker.usmi","Platform WEB - mobile","47225847","Spin & Go $5 SNG","280135518","2510958092","2026-04-07 05:43:19","2510958131","2026-04-07 05:44:22","2026-04-07 05:35:46","7.906","4.783","5","34","9","2026-04-07 05:44:26","2026-04-07 05:43:19","460","2"
"SNG","1930809","17143915","rolo822","fanduelpoker.usmi","Platform WEB - mobile","47225271","Spin & Go $20 SNG","280133674","2510946736","2026-04-07 04:59:37","2510946761","2026-04-07 05:00:25","2026-04-07 04:59:22","8.116","6.748","20","31","3","2026-04-07 05:09:14","","30","2"
"SNG","1940854","1642521","AllTheFixings","fanduelpoker.usmi","Platform QT - windows desktop","47225399","Spin & Go $5 SNG","280133905","2510949846","2026-04-07 05:07:58","2510949871","2026-04-07 05:08:39","2026-04-07 05:03:43","5.564","6.709","5","12","3","2026-04-07 05:08:39","","400","3"
"SNG","1916048","30023982","2026crashtru","fanduelpoker.usnj","Platform WEB - mobile","47225720","Spin & Go $20 SNG","280135246","2510953859","2026-04-07 05:31:20","2510955729","2026-04-07 05:32:40","2026-04-07 05:31:04","9.004","7.647","20","32","11","2026-04-07 05:38:15","","150","2"
"SNG","1942061","19995610","nikt2","fanduelpoker.uspa","Platform WEB - mobile","47225904","Spin & Go $5 SNG","280135745","2510957019","2026-04-07 05:42:54","2510958122","2026-04-07 05:44:13","2026-04-07 05:41:03","7.611","4.783","5","21","3","2026-04-07 05:49:53","","15","2"
"MTT","1912241","20720515","Musicfreak93","fanduelpoker.usmi","Platform WEB - mobile","47199516","Moonlight Express","280130085","2510944666","2026-04-07 05:00:55","2510947616","2026-04-07 05:09:27","2026-04-07 04:00:01","6.748","6.159","20","62","12","2026-04-07 05:10:04","2026-04-07 05:00:55","4500","38"
"SNG","1941824","43416739","Ry13C","fanduelpoker.usmi","Platform WEB - mobile","47225385","Spin & Go $1 SNG","280133902","2510948831","2026-04-07 05:05:54","2510949972","2026-04-07 05:11:53","2026-04-07 05:05:13","6.729","6.126","1","35","33","2026-04-07 05:11:59","2026-04-07 05:05:54","680","2"
"SNG","1913191","48613319","Cracklitos","fanduelpoker.usnj","Platform QT - windows desktop","47225495","Spin & Go $5 SNG","280134243","2510951704","2026-04-07 05:16:17","2510951728","2026-04-07 05:17:10","2026-04-07 05:10:29","6.544","7.81","5","25","5","2026-04-07 05:19:13","","180","1"
"MTT","1939448","11868636","JakeGreat","fanduelpoker.usmi","Platform WEB - mobile","47075402","PLO Turbo","280132822","2510943851","2026-04-07 05:01:50","2510947290","2026-04-07 05:14:10","2026-04-07 04:15:01","5.882","6.965","10","23","14","2026-04-07 05:14:55","2026-04-07 05:01:50","3525","17"
"SNG","1927790","27334851","RicksAIStudio","fanduelpoker.usmi","Platform WEB - mobile","47225745","Spin & Go $1 SNG","280135157","2510954512","2026-04-07 05:31:22","2510954512","2026-04-07 05:31:22","2026-04-07 05:28:10","9.004","9.004","1","13","0","2026-04-07 05:34:52","","0","2"
"SNG","1942021","14363042","jaymoney15","fanduelpoker.uspa","Platform WEB - mobile","47225241","Spin & Go $1 SNG","280133555","2510946725","2026-04-07 04:59:06","2510948483","2026-04-07 05:03:01","2026-04-07 04:56:22","8.116","6.912","1","17","9","2026-04-07 05:04:39","","175","1"
"SNG","1920095","44506271","44506271","fanduelpoker.uspa","Platform WEB - mobile","47225449","Spin & Go $5 SNG","280134089","2510950461","2026-04-07 05:13:24","2510950483","2026-04-07 05:14:28","2026-04-07 05:07:17","7.273","6.965","5","28","9","2026-04-07 05:15:51","","400","2"
"SNG","1942068","12330016","Thebestofcourse","fanduelpoker.usmi","Platform WEB - mobile","47225716","Spin & Go $5 SNG","280135018","2510954576","2026-04-07 05:34:04","2510956308","2026-04-07 05:36:11","2026-04-07 05:25:10","7.555","8.041","5","35","13","2026-04-07 05:36:17","2026-04-07 05:35:31","700","2"
"SNG","1928561","11250656","GLOW","fanduelpoker.usnj","Platform WEB - mobile","47225737","Spin & Go $1 SNG","280135119","2510955696","2026-04-07 05:31:58","2510955736","2026-04-07 05:32:48","2026-04-07 05:26:50","9.004","7.647","1","36","11","2026-04-07 05:36:23","","340","2"
"SNG","1912608","46145686","gela7746145686","fanduelpoker.usnj","Platform WEB - mobile","47225671","Spin & Go $5 SNG","280134861","2510955325","2026-04-07 05:31:26","2510955327","2026-04-07 05:31:34","2026-04-07 05:22:16","9.004","9.004","5","35","2","2026-04-07 05:31:38","","120","2"
"MTT","1920753","48514427","BEAR","fanduelpoker.usmi","Platform WEB - mobile","47200278","Moonlight Express 2nd Chance","280133981","2510954917","2026-04-07 05:36:11","2510957143","2026-04-07 05:44:59","2026-04-07 04:45:01","8.041","4.783","20","59","15","2026-04-07 05:55:00","","2921","25"
"SNG","1941824","43416739","Ry13C","fanduelpoker.usmi","Platform WEB - mobile","47225342","Spin & Go $1 SNG","280133899","2510949087","2026-04-07 05:04:15","2510950413","2026-04-07 05:11:24","2026-04-07 05:03:23","5.132","6.126","1","26","22","2026-04-07 05:11:32","2026-04-07 05:07:57","455","3"
"SNG","1941976","32059996","ItsAllGood","fanduelpoker.uspa","Platform WEB - mobile","47225411","Spin & Go $1 SNG","280134015","2510949177","2026-04-07 05:07:35","2510949177","2026-04-07 05:07:35","2026-04-07 05:05:51","5.564","5.564","1","9","1","2026-04-07 05:12:04","","20","3"
"SNG","1919711","12558550","kyle420","fanduelpoker.usmi","Platform WEB - mobile","47225566","Spin & Go $20 SNG","280134655","2510952264","2026-04-07 05:22:18","2510952264","2026-04-07 05:22:18","2026-04-07 05:18:30","7.03","7.03","20","17","0","2026-04-07 05:27:48","","0","2"
"MTT","1915664","11434412","Dboogy23","fanduelpoker.uspa","Platform WEB - mobile","47199516","Moonlight Express","280131993","2510944666","2026-04-07 05:00:55","2510944666","2026-04-07 05:00:55","2026-04-07 04:00:01","6.748","6.748","20","24","1","2026-04-07 05:02:13","","100","51"
"MTT","1911747","10879399","McClaine44","fanduelpoker.usnj","Platform WEB - mobile","47199516","Moonlight Express","280132174","2510944753","2026-04-07 05:06:32","2510947635","2026-04-07 05:10:27","2026-04-07 04:00:01","6.487","7.317","20","37","5","2026-04-07 05:14:01","","2925","33"
"MTT","1940653","48674474","Crash22","fanduelpoker.usmi","Platform QT - windows desktop","47075402","PLO Turbo","280132183","2510952909","2026-04-07 05:29:15","2510952910","2026-04-07 05:29:44","2026-04-07 04:15:01","7.81","7.81","10","70","2","2026-04-07 05:40:02","","11400","5"
"MTT","1919281","6130283","dtizzy55","fanduelpoker.uspa","Platform QT - windows desktop","47173044","Nightly Stars","280112825","2510942325","2026-04-07 05:10:04","2510942325","2026-04-07 05:10:04","2026-04-06 23:00:01","7.317","7.317","100","304","1","2026-04-07 05:26:37","","1250","5"
"MTT","1913191","48613319","Cracklitos","fanduelpoker.usnj","Platform QT - windows desktop","47200278","Moonlight Express 2nd Chance","280134233","2510947755","2026-04-07 05:16:40","2510957197","2026-04-07 05:49:56","2026-04-07 04:45:01","6.544","5.145","20","96","3","2026-04-07 05:54:24","","1195","8"
"SNG","1920304","39284009","Alchemist","fanduelpoker.usnj","Platform WEB - mobile","47225326","Spin & Go $50 SNG","280134085","2510950135","2026-04-07 05:11:38","2510950159","2026-04-07 05:12:13","2026-04-07 05:07:09","6.126","7.179","50","14","3","2026-04-07 05:12:37","","60","3"
"SNG","1940854","1642521","AllTheFixings","fanduelpoker.usmi","Platform QT - windows desktop","47225689","Spin & Go $5 SNG","280134929","2510952814","2026-04-07 05:23:39","2510952814","2026-04-07 05:23:39","2026-04-07 05:23:24","7.829","7.829","5","6","1","2026-04-07 05:26:13","","80","2"
